epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
199/350,94.6268,10.97114,0.00039,33.43/755.17G,59.87G,0.34883103 0.65116894
200/350,95.07644,10.95716,0.00039,33.17/755.17G,59.87G,0.3486817  0.65131825
201/350,94.96403,10.93391,0.00038,33.43/755.17G,59.87G,0.34862512 0.65137494
202/350,95.05396,10.93192,0.00038,33.85/755.17G,59.87G,0.34849072 0.6515093
203/350,95.18885,10.93329,0.00038,33.57/755.17G,59.87G,0.3483745 0.6516255
204/350,94.6268,10.95342,0.00037,33.53/755.17G,59.87G,0.34823447 0.6517655
205/350,95.09892,10.93955,0.00037,33.78/755.17G,59.87G,0.34808618 0.6519138
206/350,95.03147,10.93483,0.00036,33.62/755.17G,59.87G,0.34800336 0.6519966
207/350,95.07644,10.92144,0.00036,33.55/755.17G,59.87G,0.3479184  0.65208167
208/350,95.34622,10.91785,0.00035,33.61/755.17G,59.87G,0.34784168 0.6521583
209/350,94.89658,10.91236,0.00035,33.47/755.17G,59.87G,0.34774464 0.65225536
210/350,95.03147,10.91813,0.00035,33.52/755.17G,59.87G,0.34762052 0.65237945
211/350,95.00899,10.92059,0.00034,33.72/755.17G,59.87G,0.34755793 0.65244204
212/350,94.60432,10.9293,0.00034,33.89/755.17G,59.87G,0.34746414 0.65253586
213/350,95.41367,10.90338,0.00033,34.05/755.17G,59.87G,0.34732124 0.6526787
214/350,95.41367,10.89821,0.00033,33.09/755.17G,59.87G,0.347218 0.652782
215/350,95.16637,10.92182,0.00032,34.25/755.17G,59.87G,0.34719262 0.6528074
216/350,95.21133,10.90385,0.00032,33.46/755.17G,59.87G,0.3470589  0.65294105
217/350,95.09892,10.88936,0.00032,33.38/755.17G,59.87G,0.3470035 0.6529965
218/350,94.76169,10.90081,0.00031,33.27/755.17G,59.87G,0.34692264 0.65307736
219/350,95.57104,10.86784,0.00031,33.46/755.17G,59.87G,0.34689748 0.6531025
220/350,94.98651,10.88697,0.0003,33.41/755.17G,59.87G,0.34684393 0.65315604
221/350,95.18885,10.8947,0.0003,34.25/755.17G,59.87G,0.34676906 0.6532309
222/350,95.14388,10.88523,0.0003,33.71/755.17G,59.87G,0.3467138 0.6532862
223/350,94.85162,10.90892,0.00029,33.47/755.17G,59.87G,0.3466207 0.6533793
